beer_ABV,beer_beerId,beer_brewerId,beer_name,beer_style,review_appearance,review_aroma,review_overall,review_palate,review_profileName,review_taste,review_text,review_time
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,6/10,13/20,3/5,abstractbeer,7/10,"50th rating! :D Tasted while listening to The Beatles ""White Album"" on vinyl. Served at approx. 12 degrees C. 		Pours a deep red-brown with a huge off-white head. Malty nose with toffee and some berry-like sweetness. Mouthfeel is thick, with a low amount of carbonation I find very pleasant. Aroma has hints of caramel, raisins and something I can only describe as ""general fruitiness"", but leaning mostly towards banana. Nice bitterness around the edges. The 9 % abv is quite noticable. Aftertaste is short and malty. Overall Im a little disappointed and unimpressed, since this one is so highly regarded. Nothing wrong with it, but my expectations were very high. On the other hand, I might be approaching this style wrongly.",1287187200
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,8/10,18/20,4/5,corby112,9/10,"Pours a cloudy dark chocolate chestnut brown with dark amber edges when held to a light source and a thick frothy, pillowy light tan head. Excellent retention, only slowly settling into a lasting cap that lasts throughout, leaving chunks of soapy lacing in its path.		Slightly spicy peppery aroma with a lot of sweet estery Belgian yeast, chocolate, candy sugar and dark fruits; plum, raisin, prune, fig, etc.		Soft carbonation up front that subdues a bit when the beer warms. Lots of sweet dark fruit character with hints of fige, prune, raisin and plum as well as some silky chocolate and caramel. Very faint sour presence with some pleasant spiciness. Theres some cinnamon, brown sugar and candy sugar that provides an excellent balance and complexity to this amazing beer. The alcohol presence is there but the high ABV is very well masked making it dangerously drinkable. One of my all time favorites.",1255564800
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,4/5,7/10,15/20,4/5,biggmike,8/10,"Poured a cloudy golden color with nice white head that lasted a while. Aroma is yeasty and is also fruity. Flavor is crisp, clean and fruity with a touch of bitterness. The mouthfeel is very nice and this beer disguises the 8% alcohol very well. Nice beer to sip and savor.",1208131200
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,4/5,8/10,20/20,4/5,4nolanz,9/10,"UPDATED: JUL 16, 2007 a very drinkable beer for its alc% and cloud, and unlike many of the better Belguim beers, its not too hard to find in your liquor stores.",1184371200
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,4/5,8/10,19/20,4/5,jaybb,9/10,"Probably my favourite triple. I like the banana, vanilla and bread tones. This is what good Belgian beer is all about. Its extremely far removed from the amateurish abbey ales that give Belgian beer a bad name these days. Chimay White is 8%, but youd never guess that. Also, itsnot sweet at all, theres just those lovely malty flavours.",1155772800
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,5/5,9/10,16/20,4/5,mikey,8/10,"Poured into a Chimay goblet, a near hazy apple cider color with a high head that is amazingly fluffy and long-lasting. The nose was crisp and sweet with a nutty wheat aroma. Pine, grapefruit, lemon and spicey hops also tingle the nostrils. The taste was a sweet and boozy with lemon, grapefruit and wheat with a nutty oak backbone in the end. The finish was piney and dry with a nice medium feel. The feel was medium to full with active carbonation throughout. This is a strong one at 8.0 abv. However, the alcohol doesnt take anthing away from its flavour or its drinkability. Just pace yourself...",1119052800
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,3/5,7/10,16/20,3/5,Maris,8/10,"From a 330ml bottle on 12/2/2011. Pours cloudy and golden. Has a relatively subtle aroma of honey and fruits (peaches) and yeast. The taste in sweet and fruity up front, with some big spicy and peppery notes following, along with a good dash of warming alcohol. Tastes every bit of its 8%. Nice stuff.",1297468800
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,3/5,5/10,15/20,3/5,bigal9699,5/10,"Nice citrus flavors with a dap of yeast on the backend. Pretty carbonated which takes away from my drinking experience. Chimay is solid, just wish is was more affordable and this style is a bit on the light side for my personal tastes.",1023062400
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,4/5,7/10,15/20,4/5,Pyobon,7/10,"Bottle. Poured hazy golden with a big white head. Interesting aroma with esters and spice. Medium body with creamy mouthfeel and good carbonation. Flavour starts with sweetness - raisins, caramel and soft not tart fruitiness. It makes a fairly distinct transition to a big long bitter finish. Excellent beer and how can one criticise Chimay? but I thought it lacked perhaps in subtlty.",1266019200
8,52,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Abbey Tripel,4/5,7/10,17/20,3/5,fdr137,8/10,"12 oz bottle. A golden haze, maybe a burnt orange in color. A nice white head. Aroma is spice, banana, some yeastiness and hops. More banana upfront on the taste, then a fruity spice, some yeast, giving way to a nice hoppy finish. A little bit of the aftertaste is a fruit, more banana.",1232496000
4.8,14228,12,Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,Belgian Ale,5/5,7/10,14/20,3/5,ClarkVV,7/10,"UPDATED: NOV 19, 2005 11.12 oz bottle purchased by the Kuhnhenn brothers and sampled with them at their brewery.  Pours a caramel to orange color, fine bubbles, mildly hazy.  Small white head.  Aroma has a bit of sweet malt, hints of light yellow fruit esters (light apricot, light peach), bit of yeast in there as well.  Flavor is very dry, papery and astringent, with a light hops flavor mixed in with a very mild malt and yeast character.  Finishes lightly sweet.  Light bodied.",1084924800
5.5,112656,11011,Battlefield Chancellor Pale Ale,American Pale Ale,3/5,6/10,10/20,3/5,Velkyal,6/10,"Pours light amber with a white head. The nose is tropical fruits, pineapples and a mango. Tastes like seville oranges with a light hoppy bite in the background. A decent American pale ale, easy to drink.",1298160000
8,71721,1179,Brunehaut Abbaye de Saint-Martin Brune,Abbey Dubbel,4/5,7/10,14/20,4/5,keepersj12,7/10,Muddy brown with a nice fizzy head. Aroma of dark dried fruit dominates. Flavor is classic sweet fruits and malt with a little smokiness in there. Nice refreshing fizzy mouth feel.,1253836800
8.5,95518,1179,Sainte-Anne,Belgian Strong Ale,3/5,6/10,12/20,3/5,oh6gdx,6/10,"Bottled (thanks fonefan!). Hazy amber colour, mediumsized yellowish beige head. Aroma is banana, alcohol, spices, some fudge and mild notes of caramel malts. Flavour is caramel malts, alcohol and some mild bananaish notes. Mild spices as well. not that pleasant x-mas beer.",1248566400
5,22387,1179,Brunehaut Blanche,Pale Lager,3/5,5/10,11/20,3/5,BeerBelcher,5/10,"I thought this was a decently hopped pale lager that was pretty average.  It had a pretty gold color, a decent (but short-lived) head, and a pretty light Saaz-y aroma.  Flavor was pretty clean and light, with a discernible hop note.  Not bad, but nothing to write home about.		I had this on-tap at an Alsatian street festival in Antwerp and drank it from a plastic cup along with some flammen kuchen, which was delicious. 		I wouldnt steer you away from this beer; it was light and suited this occasion, but it was nothing to write home about.",1224720000
9,100762,1179,Brunehaut Abbaye de Saint-Martin Triple,Abbey Tripel,3/5,6/10,15/20,3/5,Palidor19,7/10,"lots of character, strong flavor with a flowering syrupy taste of malts and grainy after taste. while the palate is thin the beer is strong overall. great stuff.",1301270400
7,6995,1179,Ne Kopstoot,Belgian Ale,3/5,6/10,11/20,3/5,MiP,5/10,"Bottle, 7%. Weakly spicy aroma. Sparkling, hazy grey/golden colour. Big stable white head. The flavour is refreshing and spicy. Hint of bread, some metal. The metal notes fade away when the beer has breathed a bit, though. Still quite rough, some sewer, and some vegetable.",1202428800
5.8,13725,1517,Hakim Stout,Foreign Stout,4/5,4/10,11/20,3/5,LadyCooper,5/10,"Perfectly drinkable stout, slightly red when held to light. Weird but not bad barbeque sauce-black tea-coffee taste. Would not refuse if given, but probably not going to buy it again.",1144022400
4.9,17275,2938,Eichener Dark Lager,Classic German Pilsener,4/5,7/10,15/20,4/5,MoritzF,7/10,"UPDATED: MAY 5, 2007 (bottle) Clear, golden colour with a fluffy, slowly lacing foamy white head. Hay-like herbal and slightly grassy hop-aroma with a slightly sweet and bready maltiness with a touch of barnyard. Bitter flavour, light to medium bodied with a moderate, pleasant carbonation. Aromatic hops accentuation with a solid malty base; dry and herbal, lingering hoppy finish. Well-crafted, hearty Pilsener.",1176940800
7.2,76917,8592,Stix Bodacious Blonde,Belgian Ale,3/5,6/10,13/20,3/5,BillKismet,6/10,"Blonde-bronze with nice foam head. This caught me slightly off-guard as I was expecting a typical, bland American golden ale. However, from the first whiff, I detected an enjoyable hoppiness, which was hoppier than their lackluster IPA. Sprightly, yeasty zip to the nose. A flavor with a complexity of hops, and an interesting American-belgian yeast character.  Decent.",1203292800
9.6,54628,2055,Flying Bison The Herc C-130,American Strong Ale,3/5,5/10,12/20,3/5,beastiefan2k,6/10,"Draft-Mugs-Split Thy Skull-4 oz snifter.  Excited to try but aroma was all weird off the bat.  Smelled like cooked cabbage with a cherry/sherry alcoholic taste underneath that.  Taste is nice enough with warming alcohol, some hop (grassy and sharp) bitterness.  Color is dark copper with a lot of translucence, medium bitterness, and a slightly syrupy mouthfeel. Something is seriuosly off in the aroma.",1173571200
6.5,53772,2055,Flying Bison Blizzard Bock,Dunkler Bock,3/5,7/10,16/20,3/5,GregClow,8/10,"Sample at DougShoemakers 2005 December gathering - growler courtesy of rudolf. Dark mahogany colour with a wispy head. Aroma of roasted malt and bitter, nutty cocoa. Flavour of molasses, tobacco, caramel and malt, with a dry, roasty finish. I generally find dunkels to be unexciting beers, but this one really surprised me, and was one of the highlights of the evening.",1134345600
4.3,8575,2110,Sharps Doom Bar &#40;Bottle&#41;,Bitter,3/5,6/10,12/20,2/5,HeistAlmighty,6/10,500ml bottle. Amber colour with caramel malts and a slightly spicey flavour. Pleasant.,1311379200
10,92666,2110,Sharps Massive Ale,Barley Wine,3/5,6/10,13/20,3/5,joergen,6/10,"Bottle at Paps.	Clear orange coloured with a medium sized off white head.	Sweet aroma of caramel, berries and hops with an acidic touch.	Sweet flavour of caramel, berries, lactic acid and hops.	Hoppy finish.",1270857600
4.5,101637,2110,Sharps Chalkys Bark,Spice/Herb/Vegetable,3/5,5/10,10/20,3/5,Vertical Bacon Strips,5/10,"Pours out a bubbly white cap with an ok ropy but slippery lacing. The aroma is light overall: mild ginger and bread. Decent flavour with a very nice bitterness that dulls out the ginger (which is already light), apple and yeast give it a touch of gueuze sourness. A bit too fizzy in the mouth and it isnt all that soft but it is easy drinking with a lingering light bitterness.",1256515200
4.4,11400,2110,Sharps Eden Pure Ale,Bitter,3/5,5/10,14/20,3/5,anders37,5/10,"Cask @ Charlies Bar, Copenhagen. Pours an amber color with a small off-white head. Sweet malty fruity aroma with some hoppy hints. Sweet malty flavor with some floral hoppiness. Has a dry malty finish wit some hoppy hints in the aftertaste.",1212278400
5,123965,9300,Iron Hill Golden Gate Lager,California Common,3/5,6/10,11/20,5/5,Cakes,5/10,From the tap at the Lancaster brew pub.                                                    	Bronze in color with a light head. Flavors of toasty malts and lots of woody  hops.,1275264000
8.5,105689,5175,The Duck-Rabbit Duck-Rabbator Dopplebock,Doppelbock,4/5,8/10,16/20,4/5,Slipstream,8/10,"Very fine aroma of herbs and pipesmoke, with some raisins and brandy too.  This DR (rabbator?  oh come on) has lots of fruity, smokey malt flavor, along with raisin and maple syrup.  This is an interesting  porter-influenced doppelbock, and another winner from Duck Rabbit.  Another hearty thanks to my cousin for this one!",1283644800
11,67542,5175,The Duck-Rabbit Barleywine,Barley Wine,4/5,9/10,16/20,4/5,theyshookhands,8/10,"Starker Zitrusgeruch (Grapefruit, Mandarine). Startet zitrusbehaftet. Mittig malzige und bedeckte Zitrusnoten, beginnend alkoholisch.  Wrmend-likrartig und mit leichtem Zitrusflair ablaufend. Sehr gut.",1317600000
5.5,38876,5175,The Duck-Rabbit Amber Ale,Amber Ale,3/5,7/10,13/20,3/5,Derek881,7/10,"Poured from the bottle into a pint glass.  The beer is a clear amber-red color with a very big, foamy, light tan head that had long retention.  Aroma heavily featured sweet caramel malt, but also some herbal and earthy hop tones.  The beer has an interesting taste, it is rather sweet with a sort of nutty flavor.  The body is pretty wet, although somewhat thin, and it has ample carbonation.",1213574400
9,63820,5175,The Duck-Rabbit Baltic Porter,Baltic Porter,4/5,9/10,18/20,4/5,arrogantb,10/10,"Wow, I think this is the best porter I have ever had in my life! Thanks go to nflmvp for the bottle. The color was a dark black but a little reddish at the edges where the light hits. The taste was a little sweet, malty and very close to the regular Duck-Rabbit porter. I savored every drop of this awesome brew.		Serving type: bottle		Reviewed on: 03-05-2007 19:42:43",1265846400
9,63820,5175,The Duck-Rabbit Baltic Porter,Baltic Porter,4/5,7/10,16/20,4/5,Rastacouere,7/10,"Lasting tan head stays 1cm high over the close to opaque black body. Obviously very well extracted roastiness complements the strong fruitiness, mostly raisins, blackberries and plums. Quite drinkable. Its chocolate hints joyously evade any acidic pretence. Just a generous, warming imperial porter that works well and supplies gentle vinous undertones as well as a mild smokiness. Full-bodied, medium carbonation. Excellent balance all-around. Lovely beer.",1196640000
9,63820,5175,The Duck-Rabbit Baltic Porter,Baltic Porter,4/5,8/10,17/20,4/5,JJClark,8/10,"Bottle from trade with kmweaver.  Thanks Ken! Pours a rich dark brown color with a thin off white head. Aroma of roasted malt, dark chocolate and molasses. Has an almost stout llike body but slighly thinner. Nicely balanced complex taste that lingers. Has a bit of fruity sweetness to it initially but it finishes dry with a mild bitterness. A very well rounded, satisfying brew!",1161129600
10,54634,5175,The Duck-Rabbit Rabid Duck Russian Imperial Stout,Imperial Stout,3/5,8/10,15/20,3/5,Headbanger,8/10,"12oz bottle(courtesy of Hopscotch)-Pours a dark black with a nice tight tan head which emits an aroma of coffee, chocolate, burnt malt, sweetness, and slight alcohol. Flavor starts with molassess and then some malt and coffee. Finishes with chocolate and alcohol. A decent Imp Stout but is lacking character that others have.",1208908800
10,54634,5175,The Duck-Rabbit Rabid Duck Russian Imperial Stout,Imperial Stout,4/5,7/10,15/20,3/5,wilkie,6/10,"Bottle.  Black body with a medium dark tan head.  Very sweet aroma, malty, coffee, caramel, chocolate and molasses.  Flavor is similar, with a strong sweet bent and semi-dry aftertaste.  Sweet and malty.  Good beer, not best in style, but first NC Impy stout that Ive had.",1136505600
5.6,38877,5175,The Duck-Rabbit Brown Ale,Brown Ale,5/5,6/10,12/20,4/5,tastybeer,7/10,"Bottle. Pours amber with a tan head. Flavor is burnt malts and hops. Very interesting take a brown ale, this beer is underrated.",1279065600
5.6,38877,5175,The Duck-Rabbit Brown Ale,Brown Ale,4/5,8/10,17/20,4/5,Oakes,8/10,"Hazy dark chestnut colour.  Head rises huge but gently falls to a rich, inch-thick layer.  Great aroma of fresh toasted grains, layers of chocolate malt and earth and an appetizingly dusty yeastiness.  The body starts creamy then gets fizzier.  This means the front is dominated by sweet but simple brown sugar & deglet noor-ish malts but the end features deep dark chocolate, mocha and bitter, rooty  hop textures.  As brawny and complex a brown ale as Ive found that still remains true to the style.",1150243200
5.7,38878,5175,The Duck-Rabbit Porter,Porter,4/5,7/10,17/20,4/5,Cybercat,8/10,"Pours a rich sable brown, almost opaque, with a thick, fine-bubbled tan head. Smoky aroma has some maltiness and coffee undertones. Flavor is rich, strongly of burnt coffee with hints of molasses and some hoppy bitterness. It leaves a hoppy and smoky aftertaste.",1205020800
5.7,38878,5175,The Duck-Rabbit Porter,Porter,4/5,6/10,14/20,4/5,womencantsail,6/10,"A: This one pours nearly black in color with a thick, creamy, khaki colored head.		S: Fairly heavy on the roasted malts, but plenty of good dark chocolate and dark roasted coffee aromas. A light ash to it, but not enough to ruin the beer for me.		T: A light vanilla flavor to go along with the intense dark chocolate and coffee flavors. Plenty of roasted malts in there as well. Fairly smooth and enjoyable.		M: Medium in body with a creamy feel on the tongue.		O: Much better than expected, especially given my experiences with Duck Rabbit.",1308700800
8,59173,5175,The Duck-Rabbit Wee Heavy Scotch Style Ale,Scotch Ale,3/5,7/10,15/20,3/5,riversideAK,7/10,"Pours a murky dark brown with almost no head or lacing. Aromas of toffee, light peat, caramel. Flavors of toffee, peat, caramel, and some over ripe fruits in the finish. A good amount of booze for being only 8% too. Big body, creamy, and warming.",1221177600
